word	specificity
maggot	0.827
hairpin	0.803
scissors	0.797
thermometer	0.790
cockroach	0.784
penis	0.762
skijump	0.757
radiator	0.753
dagger	0.740
scorpion	0.738
sunlight	0.731
python	0.726
lion	0.725
nipple	0.722
shotgun	0.716
hairdryer	0.713
razor	0.713
kerosene	0.712
crucify	0.709
umbrella	0.707
lightbulb	0.704
guillotine	0.704
butter	0.700
mosquito	0.700
hamburger	0.700
muffin	0.700
trumpet	0.699
violin	0.699
wasp	0.696
chin	0.695
lighthouse	0.691
finger	0.689
dustpan	0.689
masturbate	0.688
cork	0.685
icebox	0.685
snuggle	0.684
diamond	0.671
elbow	0.671
thorn	0.667
vampire	0.667
sapphire	0.662
crown	0.662
pig	0.654
termite	0.653
rainbow	0.650
syphilis	0.650
ketchup	0.650
assassin	0.650
shark	0.646
vagina	0.644
bathtub	0.644
yacht	0.642
ankle	0.637
revolver	0.634
hawk	0.627
lamb	0.625
pancakes	0.625
gangrene	0.617
rat	0.616
bullet	0.613
astronaut	0.613
pencil	0.613
measles	0.608
honey	0.603
windmill	0.598
lantern	0.595
scalding	0.588
heroin	0.588
muddy	0.582
coffin	0.581
scurvy	0.575
pistol	0.575
rabbit	0.568
rifle	0.564
kettle	0.561
cuddle	0.558
kitten	0.557
tornado	0.554
dove	0.554
wink	0.550
vest	0.550
volcano	0.549
urine	0.548
rusty	0.545
needle	0.545
bandage	0.542
rabies	0.537
lamp	0.537
rancid	0.537
garter	0.537
dentist	0.534
chocolate	0.534
spider	0.531
cow	0.531
ambulance	0.530
stove	0.528
horse	0.528
butterfly	0.525
frog	0.524
putrid	0.519
arm	0.519
malaria	0.515
nun	0.514
derelict	0.513
leprosy	0.512
taxi	0.512
bed	0.512
bunny	0.512
blond	0.512
gymnast	0.507
beggar	0.506
starving	0.500
dog	0.500
tennis	0.500
skull	0.500
smallpox	0.500
bees	0.494
hammer	0.493
ulcer	0.492
hay	0.487
mutilate	0.487
grenade	0.486
cat	0.483
stomach	0.481
dollar	0.481
pasta	0.481
headlight	0.479
boxer	0.475
yellow	0.475
pillow	0.475
morbid	0.475
fork	0.475
lice	0.475
tobacco	0.473
sugar	0.470
egg	0.469
neurotic	0.468
toothache	0.466
pizza	0.463
intruder	0.463
breast	0.463
pungent	0.463
fireworks	0.463
abortion	0.463
lesbian	0.462
queen	0.456
snake	0.456
blister	0.452
avalanche	0.450
scorching	0.450
vomit	0.449
white	0.443
murderer	0.438
drown	0.436
mushroom	0.432
silk	0.425
bride	0.425
noose	0.425
narcotic	0.423
cyclone	0.423
wagon	0.412
millionaire	0.412
owl	0.411
iron	0.411
stagnant	0.410
king	0.408
chair	0.405
enraged	0.405
diver	0.400
blind	0.400
kerchief	0.400
glacier	0.400
mildew	0.400
hug	0.392
priest	0.388
frigid	0.388
insolent	0.388
table	0.388
stiff	0.385
knife	0.384
suffocate	0.382
erotic	0.380
flirt	0.380
lightning	0.378
addicted	0.375
rollercoaster	0.375
green	0.375
terrified	0.372
hostage	0.370
hydrant	0.370
impotent	0.367
sour	0.367
penthouse	0.364
baby	0.362
morgue	0.362
quart	0.362
headache	0.362
milk	0.362
lawn	0.362
bathroom	0.358
rape	0.358
spouse	0.354
bouquet	0.351
reverent	0.346
salute	0.346
spanking	0.343
cannon	0.342
hostile	0.342
flabby	0.342
blossom	0.342
roach	0.341
louse	0.338
waterfall	0.338
sun	0.338
infant	0.338
hand	0.338
mantel	0.337
bench	0.337
whistle	0.333
scar	0.333
coward	0.333
wife	0.333
sunset	0.329
muscular	0.325
barrel	0.325
slap	0.325
clock	0.325
ridicule	0.325
nurse	0.325
obnoxious	0.325
mother	0.325
disgusted	0.325
dead	0.325
sunrise	0.324
funeral	0.321
hurricane	0.317
lavish	0.316
naked	0.316
triumphant	0.316
prison	0.315
hat	0.313
timid	0.312
sailboat	0.312
tower	0.312
christmas	0.312
coin	0.309
lake	0.309
rigid	0.308
mucus	0.304
robber	0.301
girl	0.301
door	0.300
madman	0.300
water	0.300
virgin	0.300
orgasm	0.291
fatigued	0.291
golfer	0.291
locker	0.288
basket	0.288
jelly	0.287
sexy	0.287
cane	0.284
bankrupt	0.284
cliff	0.284
brother	0.278
hungry	0.278
selfish	0.278
shriek	0.275
arrogant	0.275
luscious	0.275
daylight	0.275
cellar	0.275
pamphlet	0.275
church	0.274
journal	0.273
foot	0.272
blue	0.266
mangle	0.266
jug	0.264
kick	0.263
elated	0.263
solemn	0.263
decompose	0.263
computer	0.259
bottle	0.259
bake	0.253
meek	0.253
wedding	0.253
red	0.250
disdainful	0.250
haphazard	0.250
scream	0.247
cottage	0.247
corpse	0.247
swimmer	0.247
anguished	0.244
radio	0.243
puppy	0.243
despairing	0.241
bloody	0.241
grin	0.237
dancer	0.237
slave	0.237
absurd	0.237
insane	0.237
aroused	0.237
kiss	0.235
ink	0.235
carcass	0.232
clumsy	0.231
pervert	0.230
sleep	0.228
handsome	0.228
skeptical	0.228
embattled	0.225
cabinet	0.225
slime	0.225
valentine	0.225
casino	0.225
ship	0.225
star	0.222
terrorist	0.222
crutch	0.219
pus	0.219
astonished	0.215
rain	0.212
angel	0.212
sweetheart	0.212
doll	0.212
controlling	0.212
paralysis	0.210
stool	0.203
violent	0.200
father	0.200
mold	0.200
devil	0.200
tomb	0.200
startled	0.200
snow	0.198
doctor	0.198
skyscraper	0.194
seasick	0.194
bowl	0.194
frustrated	0.192
shy	0.190
unfaithful	0.188
bus	0.188
nude	0.188
embarrassed	0.188
bomb	0.185
car	0.181
jolly	0.177
aloof	0.175
prairie	0.175
nectar	0.175
boy	0.173
whore	0.167
toxic	0.167
bath	0.167
window	0.164
manure	0.164
subdued	0.163
obscene	0.163
birthday	0.163
dirt	0.163
prick	0.163
grass	0.160
alimony	0.160
suicide	0.154
criminal	0.152
betray	0.152
insecure	0.152
thief	0.152
riot	0.151
mystic	0.150
limber	0.150
feeble	0.150
salad	0.149
truck	0.149
abduction	0.146
flag	0.146
venom	0.146
overcast	0.139
cord	0.139
hooker	0.138
suspicious	0.138
rotten	0.138
trophy	0.138
sinful	0.138
nursery	0.137
fire	0.137
river	0.137
palace	0.136
paper	0.136
swamp	0.135
paint	0.128
alien	0.128
disloyal	0.127
cemetery	0.125
maniac	0.125
graduate	0.125
alcoholic	0.125
defiant	0.125
applause	0.123
cruel	0.114
awed	0.114
scholar	0.113
swift	0.113
gun	0.113
brutal	0.113
black	0.113
diploma	0.111
busybody	0.111
alley	0.110
twilight	0.106
divorce	0.106
book	0.101
museum	0.100
bastard	0.100
cake	0.100
bereavement	0.100
deformed	0.100
vigorous	0.100
helpless	0.100
clouds	0.099
tank	0.099
highway	0.091
depressed	0.091
scornful	0.090
curtains	0.090
orchestra	0.089
saint	0.087
champion	0.087
weary	0.087
anxious	0.087
autumn	0.083
tamper	0.078
greet	0.078
angry	0.077
broken	0.076
dress	0.076
immoral	0.075
massacre	0.075
fearful	0.075
festive	0.075
trunk	0.075
plane	0.075
execution	0.075
mail	0.075
perfume	0.074
torture	0.068
zest	0.068
intercourse	0.068
patriot	0.068
coarse	0.063
beach	0.062
distressed	0.062
idiot	0.062
jail	0.062
devoted	0.062
pinch	0.062
blasphemy	0.062
column	0.062
blubber	0.060
dignified	0.051
aggressive	0.051
nonchalant	0.051
sissy	0.050
heart	0.050
knot	0.050
circus	0.050
elevator	0.050
hotel	0.050
gold	0.050
teacher	0.049
statue	0.049
burial	0.041
scorn	0.041
decorate	0.039
soothe	0.038
regretful	0.038
patent	0.038
impressed	0.038
alone	0.037
engine	0.037
fur	0.037
square	0.037
rattle	0.037
corridor	0.028
office	0.027
detest	0.027
mountain	0.025
crushed	0.025
rejected	0.025
slush	0.025
crude	0.025
avenue	0.025
obesity	0.024
candy	0.015
sex	0.014
hospital	0.014
eat	0.014
tumor	0.014
hit	0.013
heal	0.013
grateful	0.013
irritate	0.013
adorable	0.013
dreadful	0.013
radiant	0.013
blase	0.013
fungus	0.013
slum	0.012
cash	0.012
respectful	0.000
foam	0.000
nourish	0.000
house	0.000
dawn	0.000
hinder	0.000
key	0.000
tidy	0.000
elegant	0.000
bird	0.000
sphere	-0.012
breeze	-0.013
wounds	-0.013
scum	-0.013
child	-0.013
cold	-0.013
demon	-0.013
tender	-0.013
shamed	-0.013
cozy	-0.013
concentrate	-0.013
garden	-0.014
traitor	-0.014
tree	-0.014
banner	-0.015
deserter	-0.015
consoled	-0.025
champ	-0.025
tense	-0.025
vandal	-0.025
poison	-0.025
overwhelmed	-0.037
snob	-0.037
listless	-0.037
immature	-0.037
sheltered	-0.038
displeased	-0.038
pollute	-0.039
dummy	-0.041
writer	-0.041
fever	-0.049
farm	-0.049
corrupt	-0.050
contempt	-0.050
intimate	-0.050
nervous	-0.050
death	-0.050
wicked	-0.050
discouraged	-0.052
despise	-0.053
misery	-0.054
scapegoat	-0.055
poster	-0.055
circle	-0.055
pie	-0.062
rude	-0.062
defeated	-0.062
masterful	-0.062
wine	-0.062
fat	-0.062
severe	-0.062
nasty	-0.062
scared	-0.063
sky	-0.063
evil	-0.064
thrill	-0.065
humiliate	-0.065
letter	-0.068
flower	-0.068
storm	-0.068
burn	-0.074
ennui	-0.074
poetry	-0.074
woman	-0.075
humane	-0.075
delayed	-0.075
cheer	-0.077
disappoint	-0.078
resent	-0.079
repentant	-0.081
village	-0.082
ace	-0.082
stink	-0.086
quarrel	-0.086
upset	-0.087
kids	-0.087
agility	-0.089
loyal	-0.089
slaughter	-0.095
invader	-0.096
earth	-0.098
reunion	-0.099
glass	-0.100
blackmail	-0.101
wealthy	-0.101
protected	-0.101
lonely	-0.101
cook	-0.104
flood	-0.108
crash	-0.110
holiday	-0.110
inhabitant	-0.111
hatred	-0.113
cancer	-0.113
reptile	-0.113
troubled	-0.114
afraid	-0.114
engaged	-0.114
politeness	-0.122
debt	-0.123
movie	-0.123
field	-0.123
month	-0.123
runner	-0.123
market	-0.123
seat	-0.135
bar	-0.135
surgery	-0.137
false	-0.138
lawsuit	-0.138
magical	-0.138
savior	-0.138
humble	-0.138
intellect	-0.138
nightmare	-0.138
tease	-0.139
fish	-0.139
obey	-0.139
corner	-0.148
man	-0.148
win	-0.150
guilty	-0.150
army	-0.150
shadow	-0.150
scandal	-0.152
outstanding	-0.152
carefree	-0.152
beautiful	-0.154
impair	-0.156
secure	-0.158
youth	-0.160
face	-0.162
quiet	-0.163
merry	-0.163
burdened	-0.163
lottery	-0.164
killer	-0.165
brave	-0.165
admired	-0.165
neglect	-0.167
rage	-0.167
air	-0.167
destroy	-0.167
foul	-0.169
money	-0.175
joyful	-0.175
friend	-0.176
laughter	-0.178
joke	-0.178
dinner	-0.178
invest	-0.182
anger	-0.182
coast	-0.185
detached	-0.188
innocent	-0.188
surprised	-0.188
inspired	-0.190
lazy	-0.190
grime	-0.192
street	-0.194
triumph	-0.200
dump	-0.200
proud	-0.203
smooth	-0.203
deceit	-0.203
confused	-0.208
athletics	-0.212
cell	-0.212
fraud	-0.212
toy	-0.212
addict	-0.212
privacy	-0.212
victory	-0.212
gripe	-0.213
victim	-0.216
heaven	-0.219
revolt	-0.219
handicap	-0.219
metal	-0.222
outrage	-0.222
caress	-0.222
cut	-0.225
relaxed	-0.225
malice	-0.225
jewel	-0.227
bliss	-0.227
assault	-0.228
leader	-0.230
stupid	-0.231
bless	-0.231
bold	-0.231
germs	-0.233
