word	specificity
reincarnate	1.0
jackhammer	1.0
megalomaniacal	1.0
perjured	1.0
chocoholic	1.0
snowshoeing	1.0
microprocessor	1.0
silkworm	1.0
ophthalmologist	1.0
staph	1.0
circumcision	1.0
bloodstained	1.0
psychodynamic	1.0
neurosurgeon	1.0
pinkeye	1.0
ballerina	1.0
prefabricated	1.0
snorting	1.0
neuromuscular	1.0
contortionist	1.0
pothead	1.0
bloodsucking	1.0
counterterrorist	1.0
piercing	1.0
dismemberment	1.0
saxophonist	1.0
fingerprinting	1.0
seminarian	1.0
collie	1.0
neuropathology	1.0
slaughterhouse	1.0
heartworm	1.0
rethread	1.0
rheumatoid	1.0
narcolepsy	1.0
quiche	1.0
hydrochloride	1.0
bioluminescent	1.0
pigtailed	1.0
bubonic	1.0
retrovirus	1.0
earmuff	1.0
southernmost	1.0
mitochondrial	1.0
interdepartmental	1.0
subdividing	1.0
undock	1.0
trapezoidal	1.0
orthodontic	1.0
saltier	1.0
sideswipe	1.0
toothless	1.0
paleontology	1.0
jaywalk	1.0
cowpox	1.0
anesthesiologist	1.0
hashish	1.0
cauterization	1.0
plasterer	1.0
bulimic	1.0
dropkick	1.0
sooty	1.0
windsurf	1.0
agoraphobic	1.0
cardiogram	1.0
photojournalist	1.0
paramilitary	1.0
landmine	1.0
remortgage	1.0
gunshot	1.0
ragweed	1.0
beadwork	1.0
escargot	1.0
abscessed	1.0
carjacking	1.0
psychoanalyze	1.0
masturbate	1.0
spermicidal	1.0
prosthetic	1.0
policewoman	1.0
catheter	1.0
bronchitis	1.0
endoscopic	1.0
weatherproofed	1.0
dermatologist	1.0
unhittable	1.0
electrometer	1.0
unsterilized	1.0
cremator	1.0
phosphorescent	1.0
cretaceous	1.0
hexagonal	1.0
molar	1.0
caramelize	1.0
plagiarize	1.0
headphones	1.0
varicose	1.0
exorcise	1.0
counterespionage	1.0
tendonitis	1.0
anaphylactic	1.0
transsexual	1.0
deviled	1.0
genealogical	1.0
pancreatic	1.0
sadomasochism	1.0
neuropsychological	1.0
pyramidal	1.0
spaceport	1.0
microsecond	1.0
demineralization	1.0
safecracking	1.0
snowboarding	1.0
handspring	1.0
tracheotomy	1.0
marooned	1.0
urethra	1.0
carsick	1.0
unmasking	1.0
needlepoint	1.0
epidermal	1.0
newt	1.0
hacksaw	1.0
anticoagulation	1.0
entomologist	1.0
horsewhip	1.0
tweeze	1.0
haiku	1.0
plagiarist	1.0
preadolescent	1.0
candied	1.0
cottontail	1.0
quadriplegic	1.0
halitosis	1.0
eyebath	1.0
pediatrician	1.0
scribbled	1.0
isotopic	1.0
gastrointestinal	1.0
soybean	1.0
submersible	1.0
khaki	1.0
infomercial	1.0
