pos	item_1	item_2	item_3	item_4	best	worst	explanation	model
Noun	smeller	lawn	knife	senorita	senorita	smeller	3 , 0	gpt-4
Noun	cayenne	abortion	spectator	cofounder	cayenne	spectator	0 , 2	gpt-4
Noun	candlelight	wisher	scoliosis	opossum	scoliosis	wisher	2 , 1	gpt-4
Noun	web	researcher	shakedown	navy	shakedown	web	2 , 0	gpt-4
Noun	poll	harm	disembody	physicality	disembody	harm	2 , 1	gpt-4
Noun	pregnancy	leukemia	spatter	insistence	leukemia	insistence	1 , 3	gpt-4
Noun	vanquisher	dreamworld	waterhole	purifier	waterhole	dreamworld	2 , 1	gpt-4
Noun	algae	descendant	oxidation	squiggle	oxidation	descendant	2 , 1	gpt-4
Noun	sexuality	dreamer	reconvict	deer	reconvict	sexuality	2 , 0	gpt-4
Noun	barracuda	noodle	ahoy	disparity	barracuda	disparity	0 , 3	gpt-4
Noun	honeydew	psychotherapist	stirrer	streets	psychotherapist	streets	1 , 3	gpt-4
Noun	urgency	sabbatical	concurrence	fabric	sabbatical	fabric	1 , 3	gpt-4
Noun	headlock	similarity	dumpling	ecosystem	headlock	similarity	0 , 1	gpt-4
Noun	fire	misapprehension	otherness	democracy	misapprehension	otherness	1 , 2	gpt-4
Noun	charmer	gesture	postponement	soloist	postponement	gesture	2 , 1	gpt-4
Noun	mandarin	forgiver	neurosurgeon	blues	neurosurgeon	forgiver	2 , 1	gpt-4
Noun	hangover	afterglow	dress	chambermaid	chambermaid	dress	3 , 2	gpt-4
Noun	taker	unionism	stimulation	timestamp	timestamp	stimulation	3 , 2	gpt-4
Noun	sunbird	carelessness	decomposition	scalp	sunbird	carelessness	0 , 1	gpt-4
Noun	subscriber	inadvertence	margin	petal	subscriber	margin	0 , 2	gpt-4
Noun	stocking	daydreamer	tee	workbook	daydreamer	stocking	1 , 0	gpt-4
Noun	herbs	partition	talker	cunt	talker	herbs	2 , 0	gpt-4
Noun	scumbag	buoyancy	lemonade	plate	lemonade	scumbag	2 , 0	gpt-4
Noun	founder	grumbler	greenery	fax	fax	greenery	3 , 2	gpt-4
Noun	nonstarter	pretension	compatibility	bison	bison	pretension	3 , 1	gpt-4
Noun	taxpayer	puppet	wallop	cootie	cootie	taxpayer	3 , 0	gpt-4
Noun	demerit	hem	bitters	detector	bitters	detector	2 , 3	gpt-4
Noun	sprain	manger	illicitness	hayride	manger	illicitness	1 , 2	gpt-4
Noun	floozy	blabbermouth	longneck	modem	modem	floozy	3 , 0	gpt-4
Noun	roadrunner	liquidator	birdbath	valor	roadrunner	valor	0 , 3	gpt-4
Noun	horribleness	lethality	policeman	nosedive	policeman	horribleness	2 , 0	gpt-4
Noun	microchemistry	microelectronics	greens	luck	microchemistry	greens	0 , 2	gpt-4
Noun	thinker	voting	polling	language	polling	language	2 , 3	gpt-4
Noun	constraint	legitimacy	gridiron	medics	gridiron	constraint	2 , 0	gpt-4
Noun	physiology	chimpanzee	tautness	subsurface	chimpanzee	physiology	1 , 0	gpt-4
Noun	inversion	peeper	bugle	newscaster	newscaster	inversion	3 , 0	gpt-4
Noun	copout	counterattack	shipbuilder	dimwit	shipbuilder	copout	2 , 0	gpt-4
Noun	valet	headmaster	deceleration	barbell	deceleration	valet	2 , 0	gpt-4
Noun	horseback	countryman	spindling	elaboration	spindling	elaboration	2 , 3	gpt-4
Noun	detoxification	carjacking	anarchist	adversary	carjacking	adversary	1 , 3	gpt-4
Noun	lyrics	cause	joist	cage	joist	cause	2 , 1	gpt-4
Noun	razor	informality	spokesman	discriminator	razor	informality	0 , 1	gpt-4
Noun	surrealism	bodybuilder	incubator	idiot	bodybuilder	idiot	1 , 3	gpt-4
Noun	whisker	lunch	regurgitation	exponential	regurgitation	lunch	2 , 1	gpt-4
Noun	heaviness	tide	subjectivity	legwarmer	legwarmer	subjectivity	3 , 2	gpt-4
Noun	suffix	stickler	faithfulness	otter	stickler	faithfulness	1 , 2	gpt-4
Noun	tassel	objectification	lawyer	pagoda	lawyer	objectification	2 , 1	gpt-4
Noun	cribbage	vacancy	gorgeousness	investigator	cribbage	vacancy	0 , 1	gpt-4
Noun	torrent	licorice	eyewash	onion	eyewash	torrent	2 , 0	gpt-4
Noun	spectacle	adventurer	stewpot	classes	stewpot	classes	2 , 3	gpt-4
Noun	paratrooper	commandant	coupe	laundry	coupe	laundry	2 , 3	gpt-4
Noun	enemy	dose	crimp	personnel	crimp	enemy	2 , 0	gpt-4
Noun	pepper	smokehouse	nobility	letter	smokehouse	letter	1 , 3	gpt-4
Noun	tyranny	trickle	scavenger	maid	scavenger	tyranny	2 , 0	gpt-4
Noun	toilet	respite	emperor	glutton	emperor	respite	2 , 1	gpt-4
Noun	darkness	pigeonhole	chromosome	wrongness	pigeonhole	darkness	1 , 0	gpt-4
Noun	despot	timeout	science	paralysis	paralysis	science	3 , 2	gpt-4
Noun	bullshit	bile	coverall	benchmark	coverall	bullshit	2 , 0	gpt-4
Noun	chalkboard	regulation	lasso	sideburns	sideburns	regulation	3 , 1	gpt-4
Noun	chestnut	complexion	anatomist	clarity	chestnut	complexion	0 , 1	gpt-4
Noun	penance	lotion	tolerance	dowel	dowel	tolerance	3 , 2	gpt-4
Noun	freebie	prong	patella	qualification	patella	freebie	2 , 0	gpt-4
Noun	hothouse	grillwork	dot	energizer	grillwork	dot	1 , 2	gpt-4
Noun	relevancy	aplenty	rebirth	onslaught	onslaught	aplenty	3 , 1	gpt-4
Noun	inflow	vibrator	superstore	aerosol	vibrator	inflow	1 , 0	gpt-4
Noun	seamanship	skyline	assemblage	sympathizer	seamanship	assemblage	0 , 2	gpt-4
Noun	camping	gnat	book	wiz	gnat	book	1 , 2	gpt-4
Noun	devourer	handshaking	canvass	kebab	kebab	canvass	3 , 2	gpt-4
Noun	chessboard	tragicomedy	packhorse	calculation	tragicomedy	calculation	1 , 3	gpt-4
Noun	barricade	manure	appeasement	crevice	crevice	barricade	3 , 0	gpt-4
Noun	acronym	costume	nonconformist	purchaser	nonconformist	acronym	2 , 0	gpt-4
Noun	pavilion	granite	exterminator	reins	exterminator	pavilion	2 , 0	gpt-4
Noun	decentralization	encourager	cytoplasm	tonsillectomy	tonsillectomy	decentralization	3 , 0	gpt-4
Noun	west	logbook	slayer	hickory	logbook	west	1 , 0	gpt-4
Noun	fencing	buttermilk	blackout	antics	buttermilk	fencing	1 , 0	gpt-4
Noun	snatcher	fore	bouquet	guru	bouquet	fore	2 , 1	gpt-4
Noun	horseplay	grit	lollipop	payroll	lollipop	horseplay	2 , 0	gpt-4
Noun	gear	minion	boob	antagonism	minion	gear	1 , 0	gpt-4
Noun	carrier	malcontent	courtier	spitball	spitball	carrier	3 , 0	gpt-4
Noun	dick	hypoglycemia	catnap	singleness	hypoglycemia	dick	1 , 0	gpt-4
Noun	plea	javelin	obituary	abacus	javelin	plea	1 , 0	gpt-4
Noun	payout	birth	loaf	party	loaf	party	2 , 3	gpt-4
Noun	mucus	wagon	indulgence	sleepwear	wagon	indulgence	1 , 2	gpt-4
Noun	turnout	cactus	grower	tadpole	cactus	turnout	1 , 0	gpt-4
Noun	putdown	nonsupport	jigsaw	misperception	jigsaw	nonsupport	2 , 1	gpt-4
Noun	shortcoming	contestation	liaison	hornet	hornet	shortcoming	3 , 0	gpt-4
Noun	pendant	monkfish	disconnection	addictiveness	monkfish	disconnection	1 , 2	gpt-4
Noun	paperhanger	consolation	noontime	pricking	paperhanger	consolation	0 , 1	gpt-4
Noun	vertigo	smock	asparagus	attribution	asparagus	attribution	2 , 3	gpt-4
Noun	angst	boxing	groin	bashfulness	groin	angst	2 , 0	gpt-4
Noun	tea	underbelly	mafia	nutshell	mafia	tea	2 , 0	gpt-4
Noun	zenith	instructor	barbarism	talon	talon	barbarism	3 , 2	gpt-4
Noun	celluloid	prearrangement	interview	radius	prearrangement	celluloid	1 , 0	gpt-4
