word	specificity
radiator	1.0
massacre	1.0
guillotine	1.0
sweetheart	1.0
murderer	1.0
skijump	1.0
leprosy	1.0
derelict	1.0
hamburger	1.0
scorpion	1.0
malaria	1.0
surgery	1.0
scalding	1.0
coward	1.0
rabies	1.0
assassin	1.0
smallpox	1.0
putrid	1.0
measles	1.0
toothache	1.0
syphilis	1.0
wounds	1.0
louse	1.0
bouquet	0.875
pungent	0.875
ulcer	0.875
nipple	0.875
terrified	0.875
lighthouse	0.875
sapphire	0.875
lightbulb	0.875
deserter	0.875
bunny	0.875
dagger	0.875
shotgun	0.875
astronaut	0.875
beggar	0.875
masturbate	0.875
scissors	0.875
heroin	0.875
perfume	0.875
hairpin	0.875
garter	0.875
mildew	0.875
gangrene	0.875
golfer	0.875
tornado	0.875
crucify	0.875
rollercoaster	0.875
mutilate	0.875
infatuation	0.875
lice	0.875
addicted	0.875
scurvy	0.875
seasick	0.875
termite	0.875
slaughter	0.875
rusty	0.875
execution	0.875
terrorist	0.875
narcotic	0.875
thermometer	0.75
bake	0.75
thorn	0.75
dustpan	0.75
abortion	0.75
spanking	0.75
morgue	0.75
infant	0.75
blossom	0.75
startled	0.75
trumpet	0.75
noose	0.75
overcast	0.75
vagina	0.75
disloyal	0.75
scorching	0.75
despairing	0.75
intruder	0.75
nightmare	0.75
orchestra	0.75
ketchup	0.75
bandage	0.75
muffin	0.75
needle	0.75
gymnast	0.75
paralysis	0.75
bullet	0.75
vampire	0.75
razor	0.75
lesbian	0.75
violin	0.75
windmill	0.75
skyscraper	0.75
alien	0.75
doctor	0.75
christmas	0.75
rifle	0.75
tumor	0.75
maniac	0.75
knot	0.75
detail	0.75
pizza	0.75
snuggle	0.75
valentine	0.75
orgasm	0.75
revolver	0.75
overwhelmed	0.75
chocolate	0.75
fireworks	0.75
headache	0.75
starving	0.75
hostage	0.75
ridicule	0.625
traitor	0.625
neurotic	0.625
python	0.625
maggot	0.625
alimony	0.625
enraged	0.625
rancid	0.625
wink	0.625
frustrated	0.625
suicide	0.625
yacht	0.625
kerosene	0.625
nurse	0.625
penthouse	0.625
burial	0.625
astonished	0.625
criminal	0.625
impotent	0.625
roach	0.625
mutation	0.625
penis	0.625
blond	0.625
coffin	0.625
pervert	0.625
sailboat	0.625
cockroach	0.625
bomb	0.625
pancakes	0.625
hairdryer	0.625
solemn	0.625
muddy	0.625
flirt	0.625
alcoholic	0.625
crushed	0.625
cancer	0.625
rainbow	0.625
rotten	0.625
boxer	0.625
suffocate	0.625
volcano	0.625
depressed	0.625
pasta	0.625
carcass	0.625
tennis	0.625
patent	0.625
poison	0.625
trophy	0.625
hurricane	0.625
embattled	0.625
pamphlet	0.625
disgusted	0.625
pinch	0.5
deformed	0.5
toxic	0.5
waterfall	0.5
unfaithful	0.5
